Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
C18O	Carbon Monoxide	109.78217340, 109.78217340	1-0	-5.07080	 2.1	0.0000	0.0000	CDMS
C18O	Carbon Monoxide	219.56035410, 219.56035410	2-1	-4.17940	 3.5	3.6619	5.2686	CDMS
C18O	Carbon Monoxide	329.33055250, 329.33055250	3-2	-3.67060	15.3	10.9857	15.8059	CDMS
C18O	Carbon Monoxide	439.08876580, 439.08876580	4-3	-3.32310		21.9710	31.6112	CDMS
C18O	Carbon Monoxide	548.83100550, 548.83100550	5-4	-3.06750		36.6174	52.6840	CDMS
C18O	Carbon Monoxide	658.55327820, 658.55327820	6-5	-2.87280	25.0	54.9244	79.0235	CDMS
C18O	Carbon Monoxide	768.25159330, 768.25159330	7-6	-2.72260		76.8914	110.6289	CDMS
C18O	Carbon Monoxide	877.92195530, 877.92195530	8-7	-2.60710	18.1	102.5175	147.4990	CDMS
